battery_power,bluetooth,clock_speed,dual_sim,fc_megapixel,four_g,int_memory,m_depth,mobile_wt,n_cores,pc_megapixel,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1568,1,0.5,0,16.0,0,33,1.0,150.0,8,20,413,654,508.0,5,1,6,1,1,1,0
1319,1,0.9,0,3.0,1,41,0.9,107.0,1,18,85,1152,2227.0,18,5,3,1,1,1,1
1310,1,2.2,1,0.0,1,51,0.6,100.0,4,0,178,1919,3845.0,7,0,12,1,1,0,3
644,1,2.7,0,0.0,0,22,0.7,157.0,8,3,311,881,1262.0,12,1,15,1,0,0,0
725,0,1.3,1,16.0,0,60,0.4,160.0,8,17,1134,1249,1326.0,10,4,15,1,0,0,1
589,1,2.3,1,1.0,0,61,0.6,160.0,4,10,429,815,2113.0,13,7,2,1,0,1,1
1725,1,1.6,1,6.0,1,6,0.5,119.0,2,18,609,1307,3429.0,6,5,4,1,1,0,3
790,0,2.0,1,16.0,1,11,0.3,87.0,6,17,347,730,3169.0,6,1,2,1,0,1,2
560,0,0.5,1,15.0,0,50,0.3,159.0,2,20,1448,1613,2150.0,18,12,11,1,1,0,2
1347,0,2.9,0,5.0,0,44,0.6,132.0,1,14,434,967,2484.0,18,2,11,1,0,1,2
1646,1,2.3,0,8.0,1,41,0.2,185.0,2,10,1725,1932,3339.0,18,10,19,1,1,0,3
1253,1,0.5,1,5.0,1,5,0.2,152.0,2,19,685,714,1878.0,15,0,4,1,1,0,1
1656,0,1.0,0,5.0,1,34,0.1,166.0,3,7,880,1456,1629.0,15,12,14,1,1,0,1
1195,1,2.8,0,1.0,1,20,0.8,110.0,2,14,1580,1652,504.0,9,3,12,1,1,0,0
1514,0,2.9,0,0.0,0,27,0.2,118.0,3,1,186,1810,1152.0,8,3,20,0,1,1,1
1723,1,1.1,1,1.0,0,42,1.0,164.0,8,14,202,1791,3587.0,10,5,3,1,0,0,3
1054,1,1.8,1,3.0,1,40,0.8,196.0,7,10,27,774,2296.0,16,12,12,1,0,1,1
578,1,2.6,1,2.0,1,57,0.2,162.0,8,8,1025,1433,1270.0,15,3,5,1,0,1,0
596,0,2.1,1,9.0,0,64,0.8,111.0,8,15,885,1854,3238.0,16,13,10,0,0,0,3
1547,1,3.0,1,2.0,1,14,0.7,198.0,3,19,1042,1832,2059.0,5,0,15,1,0,1,2
1760,0,1.4,1,5.0,0,63,0.8,127.0,8,19,1382,1383,2053.0,19,12,16,0,1,0,2
1654,1,1.5,1,0.0,1,43,0.3,109.0,2,0,546,629,3112.0,12,5,10,1,1,0,3
1457,0,1.9,1,1.0,1,16,0.3,102.0,3,10,1013,1287,1440.0,17,8,12,1,0,1,1
1073,1,0.5,1,0.0,0,51,0.5,145.0,7,0,690,804,2908.0,6,0,18,0,1,0,2
1936,0,2.1,1,10.0,1,46,0.6,104.0,3,20,667,1036,2552.0,14,7,13,1,0,0,2
823,1,2.7,1,13.0,0,60,0.5,148.0,8,19,822,1449,905.0,14,11,17,1,1,1,0
987,0,1.3,1,0.0,1,61,0.4,107.0,3,9,581,820,3963.0,9,4,20,1,0,1,3
1757,0,0.5,0,8.0,0,49,0.5,180.0,6,14,265,713,2056.0,7,5,4,0,0,0,1
1063,0,1.4,1,2.0,1,48,1.0,128.0,5,4,127,683,2910.0,15,13,9,1,1,1,2
1484,0,3.0,0,3.0,0,12,0.6,134.0,3,5,916,969,1457.0,14,4,20,1,1,0,1
799,1,2.3,0,1.0,1,63,0.8,144.0,8,6,361,975,431.0,15,6,6,1,1,1,0
1156,1,1.2,1,0.0,1,50,0.8,159.0,2,0,322,547,470.0,7,0,15,1,1,0,0
1720,0,2.0,0,15.0,1,55,0.5,168.0,2,18,753,1353,2148.0,14,2,5,1,1,1,2
702,0,2.6,1,2.0,1,9,0.7,141.0,3,3,504,1570,2955.0,10,4,19,1,0,0,2
616,0,1.9,1,13.0,1,44,0.8,81.0,3,17,651,1618,3366.0,18,8,13,1,1,0,3
1358,1,0.5,0,11.0,1,36,0.3,155.0,4,14,1565,1858,3068.0,9,4,4,1,1,0,3
1866,0,1.4,0,0.0,0,30,0.5,182.0,3,0,108,1781,3834.0,16,11,8,0,0,0,3
1242,0,1.1,1,0.0,0,10,0.6,165.0,2,1,459,1225,1050.0,11,1,4,1,0,1,0
1166,0,1.5,1,0.0,1,43,0.8,80.0,4,1,205,603,3993.0,7,1,7,1,1,0,3
1448,1,0.5,1,6.0,1,45,0.8,138.0,7,11,570,1724,3378.0,13,11,2,1,1,1,3
1407,1,2.4,0,1.0,1,22,0.7,104.0,4,4,1172,1217,2192.0,9,7,13,1,0,1,2
605,0,1.0,0,8.0,1,9,0.1,142.0,3,16,160,1026,392.0,15,6,4,1,0,0,0
1038,0,1.2,0,3.0,0,43,0.7,141.0,1,5,4,638,3709.0,11,0,12,1,1,1,3
797,1,2.9,1,4.0,0,38,0.5,90.0,4,6,763,1413,590.0,9,2,6,0,1,0,0
819,0,0.6,1,8.0,1,42,0.9,188.0,6,20,339,1242,1814.0,5,4,13,1,0,1,1
1114,0,2.8,0,4.0,1,9,0.4,197.0,3,15,1040,1071,907.0,10,7,17,1,1,0,0
1234,1,1.6,1,1.0,0,33,0.6,172.0,1,3,166,778,1449.0,11,7,6,0,0,1,0
1199,1,2.5,1,15.0,1,16,0.2,116.0,4,20,1168,1552,3448.0,17,13,10,1,0,1,3
1103,0,1.0,1,6.0,0,29,0.7,111.0,6,8,990,1486,1837.0,8,7,16,0,1,1,1
1589,1,0.6,1,0.0,1,58,0.9,85.0,7,7,319,1206,3464.0,19,10,6,1,1,1,3
999,0,2.9,1,11.0,1,64,0.2,199.0,4,19,1397,1616,2593.0,14,11,16,1,1,0,2
1510,1,0.9,1,2.0,0,45,0.9,180.0,5,3,708,1752,3484.0,9,6,11,0,1,1,3
1008,0,0.8,0,11.0,0,61,1.0,114.0,3,15,1077,1122,2009.0,10,3,11,1,0,0,1
1127,1,2.9,1,5.0,1,57,0.8,163.0,1,13,928,1049,2048.0,11,5,17,1,1,1,1
1412,1,2.4,0,5.0,0,25,0.8,96.0,8,17,516,1894,837.0,15,9,4,0,0,1,1
1496,1,2.0,1,4.0,0,42,0.5,182.0,5,5,96,741,854.0,16,0,7,0,1,1,0
1083,1,2.9,1,1.0,1,64,0.8,178.0,3,11,1025,1118,3210.0,13,3,4,1,0,0,3
668,0,0.5,1,0.0,0,3,0.1,155.0,5,13,666,1203,2746.0,9,5,8,1,1,1,2
1309,0,1.1,1,0.0,0,33,0.5,100.0,4,14,557,1402,2334.0,10,1,11,1,0,1,2
1724,0,2.0,1,2.0,1,57,0.5,177.0,3,5,1605,1924,2822.0,19,3,16,1,1,0,3
1977,1,2.0,1,7.0,1,54,1.0,171.0,7,18,1226,1242,1971.0,18,7,14,1,1,0,2
885,0,2.3,1,0.0,1,15,0.4,103.0,7,0,769,802,1410.0,16,10,5,1,1,1,0
879,1,2.5,0,11.0,1,14,0.7,83.0,6,15,403,1105,349.0,16,10,2,1,0,1,0
1322,0,1.7,1,6.0,0,7,0.8,140.0,3,9,177,1990,1418.0,19,17,12,0,1,0,1
1137,1,1.0,0,18.0,0,7,1.0,196.0,3,19,942,1179,3616.0,13,5,12,1,1,1,3
1355,0,2.3,0,10.0,1,23,0.2,132.0,5,16,651,891,880.0,19,4,8,1,1,0,0
1665,1,0.5,0,3.0,1,60,0.2,194.0,6,18,1572,1684,1601.0,18,17,14,1,0,0,2
657,0,2.5,0,0.0,0,37,0.7,141.0,2,1,476,961,1412.0,14,3,18,0,1,0,0
1883,1,0.5,0,3.0,1,10,0.3,146.0,6,13,836,1739,2600.0,16,8,20,1,0,0,3
1732,1,1.1,0,4.0,1,12,0.8,119.0,8,9,824,881,1308.0,16,7,11,1,0,1,1
543,0,0.5,0,0.0,0,57,0.7,192.0,5,4,391,984,2413.0,17,14,15,1,0,0,1
1939,1,2.8,1,0.0,1,55,0.6,199.0,4,10,320,520,1047.0,14,10,18,1,1,0,0
553,0,2.4,1,1.0,1,8,0.5,121.0,7,3,325,902,1204.0,11,4,8,1,1,1,0
832,0,0.7,1,2.0,1,39,0.7,103.0,4,3,125,1504,1799.0,5,2,11,1,0,1,1
1661,0,1.9,1,5.0,0,23,1.0,172.0,5,10,846,1634,2676.0,12,6,11,0,1,1,3
1657,1,2.4,0,3.0,0,42,0.1,198.0,5,16,1770,1796,2597.0,18,1,14,1,0,0,3
1135,1,2.0,1,0.0,0,46,0.3,83.0,1,4,293,1846,3029.0,19,17,9,1,1,1,3
1775,1,1.5,0,3.0,0,41,0.1,163.0,1,7,1633,1869,2016.0,19,13,14,1,1,1,3
783,0,1.8,1,0.0,1,43,1.0,106.0,3,4,1198,1471,2016.0,16,4,18,1,1,0,1
617,1,2.3,0,0.0,0,32,0.5,141.0,7,20,768,874,2213.0,18,13,7,0,0,0,1
867,0,1.4,1,0.0,1,4,0.7,135.0,6,1,70,1974,790.0,13,6,3,1,1,0,0
1310,1,1.1,1,13.0,0,7,1.0,194.0,5,14,117,513,3182.0,8,4,5,1,1,0,2
1804,0,0.5,0,9.0,1,22,0.6,153.0,7,19,1158,1244,3472.0,9,1,20,1,0,1,3
1900,1,2.3,0,1.0,1,18,0.2,89.0,7,9,1055,1661,2871.0,12,1,13,1,1,1,3
909,1,1.4,0,0.0,0,53,0.3,82.0,8,0,635,973,3187.0,12,9,4,1,0,0,2
1084,1,2.6,0,3.0,1,40,0.9,107.0,3,11,322,771,1945.0,15,4,10,1,1,0,1
1308,0,1.3,1,8.0,0,46,0.9,199.0,1,12,275,989,488.0,5,3,9,0,1,0,0
1778,0,0.5,0,0.0,0,15,0.5,102.0,3,0,1445,1954,1214.0,5,0,14,1,0,0,1
1701,1,1.6,1,3.0,0,10,0.3,194.0,8,7,550,1338,2598.0,12,9,6,0,1,0,2
772,1,2.4,1,1.0,1,10,0.5,80.0,4,2,1242,1712,3242.0,18,11,4,1,1,0,3
825,1,0.5,1,7.0,0,52,0.9,130.0,3,10,597,863,3534.0,10,4,6,0,1,0,3
1379,0,1.1,0,5.0,1,36,0.8,200.0,2,7,538,1376,3426.0,5,4,17,1,1,1,3
1166,0,2.0,0,3.0,1,25,0.8,198.0,5,4,59,1203,2488.0,13,5,15,1,0,0,2
1659,0,2.8,0,5.0,0,16,0.6,89.0,1,20,819,902,3255.0,19,14,9,0,0,1,3
826,1,2.4,1,0.0,1,58,0.3,88.0,4,1,179,786,2863.0,9,3,18,1,0,1,2
1564,0,2.3,0,4.0,1,25,0.5,189.0,6,17,1259,1965,1496.0,6,4,7,1,1,1,1
1957,0,0.9,1,11.0,0,31,0.6,181.0,3,16,396,1732,3801.0,12,0,7,1,0,1,3
1571,0,1.4,0,0.0,1,19,0.1,100.0,6,1,713,1398,666.0,12,10,13,1,1,0,0
1414,0,2.0,1,2.0,0,54,0.8,141.0,7,3,262,829,3799.0,17,7,7,1,0,1,3
1790,0,2.5,1,9.0,0,2,0.1,184.0,1,14,622,792,1366.0,7,0,20,1,1,1,1
645,0,0.5,0,1.0,0,41,1.0,197.0,7,10,327,580,2962.0,12,9,4,1,1,1,2
668,0,2.9,1,7.0,0,30,0.2,195.0,8,12,522,1056,2399.0,10,5,7,1,1,1,1
1652,1,1.1,1,1.0,0,36,0.7,89.0,4,5,313,1264,2338.0,12,8,20,0,0,0,2
1213,1,0.5,0,0.0,0,16,0.5,108.0,5,0,226,1248,2700.0,12,3,9,0,0,1,2
1272,1,2.5,1,0.0,0,22,0.9,133.0,6,8,605,669,2235.0,19,4,4,1,0,0,1
866,0,0.5,1,5.0,1,46,0.5,179.0,8,7,692,1686,3825.0,12,11,2,1,1,1,3
536,0,2.4,1,12.0,1,3,0.3,182.0,7,14,1386,1539,284.0,12,9,4,1,1,0,0
523,0,2.6,1,1.0,0,14,0.1,155.0,8,2,304,1042,1427.0,9,1,9,0,1,0,0
1753,0,0.5,1,0.0,1,31,0.1,134.0,1,18,1590,1926,1324.0,17,0,17,1,0,1,2
1218,0,1.8,1,1.0,1,14,0.5,147.0,3,4,229,616,398.0,17,0,5,1,0,0,0
1537,1,2.5,0,4.0,1,43,0.3,137.0,1,5,839,1131,3685.0,18,17,17,1,1,1,3
786,0,2.2,1,0.0,0,33,0.5,141.0,7,6,507,1697,2390.0,12,11,5,1,0,1,2
1678,0,2.1,0,3.0,1,64,0.9,134.0,3,11,436,536,278.0,19,0,10,1,1,0,0
1814,0,1.4,1,1.0,1,9,0.4,141.0,2,2,756,786,3556.0,18,12,16,1,0,0,3
1101,0,1.8,0,0.0,0,31,0.2,148.0,2,7,387,1269,2196.0,12,6,19,0,1,1,1
1461,0,2.4,1,3.0,1,40,0.5,141.0,7,4,1265,1298,3799.0,16,1,4,1,0,0,3
1216,0,3.0,0,4.0,0,47,0.4,199.0,3,7,1852,1967,2268.0,13,5,4,0,1,1,2
506,0,1.6,0,6.0,1,41,0.8,159.0,1,7,875,1025,2965.0,13,10,15,1,0,0,2
843,1,0.5,0,1.0,1,56,0.1,147.0,5,17,140,800,2341.0,10,1,20,1,1,1,1
742,0,2.2,1,4.0,0,56,0.2,190.0,7,14,577,1359,3557.0,16,11,12,0,1,1,3
1692,1,2.1,0,3.0,1,61,0.9,176.0,6,12,975,1996,1354.0,16,7,19,1,0,0,1
1485,0,1.0,0,2.0,1,32,0.7,84.0,2,9,510,1013,2147.0,19,1,11,1,1,0,2
1547,0,2.9,1,6.0,0,45,0.7,166.0,2,8,583,590,505.0,12,2,3,0,1,1,0
1692,0,2.3,1,4.0,1,46,0.9,139.0,1,6,674,1925,1394.0,16,10,6,1,1,0,1
637,0,2.3,0,3.0,1,60,0.8,97.0,4,4,1125,1989,374.0,18,4,8,1,0,1,0
1224,0,0.5,0,16.0,1,6,0.4,109.0,6,18,747,826,506.0,10,0,11,1,1,1,0
1356,0,2.8,0,0.0,0,29,0.5,198.0,6,0,1612,1983,3702.0,17,0,19,0,0,0,3
1840,0,0.5,1,12.0,0,34,0.7,142.0,1,16,311,1545,1078.0,8,0,10,0,0,0,1
1481,1,0.7,1,4.0,1,37,0.6,96.0,5,13,116,1533,2945.0,10,5,16,1,1,1,2
961,1,1.5,1,10.0,0,51,0.3,152.0,6,16,554,621,2981.0,15,6,7,1,1,1,2
1296,0,0.9,1,0.0,1,14,0.5,124.0,5,3,811,1272,490.0,7,1,4,1,1,1,0
1193,0,0.9,0,11.0,0,26,0.5,166.0,1,20,730,1729,536.0,17,14,4,1,0,1,0
1441,0,2.1,1,11.0,1,3,0.1,118.0,8,17,577,1071,2317.0,16,4,7,1,0,1,2
517,0,1.4,1,3.0,1,33,0.8,183.0,4,8,660,974,3704.0,17,16,11,1,0,1,3
748,1,1.7,0,0.0,1,27,0.9,150.0,8,4,450,1554,2126.0,18,9,7,1,0,0,1
1126,1,2.4,0,2.0,1,10,0.4,160.0,6,3,1223,1611,2050.0,7,6,12,1,1,1,2
1572,0,0.6,0,0.0,1,58,0.2,157.0,7,8,1109,1937,2462.0,12,8,10,1,0,0,3
1569,0,2.8,1,17.0,0,44,0.3,110.0,4,20,45,1942,1260.0,9,2,17,1,0,0,1
1270,1,0.6,1,2.0,1,32,0.5,101.0,7,6,299,845,3770.0,5,3,13,1,1,0,3
1854,0,3.0,0,2.0,1,8,0.1,101.0,5,5,506,627,1886.0,17,4,20,1,1,0,1
625,1,1.2,1,5.0,1,10,0.2,183.0,4,8,635,842,3323.0,9,1,7,1,1,1,2
1577,0,0.5,1,0.0,1,42,0.3,197.0,5,4,1045,1737,2060.0,19,6,12,1,0,0,2
534,0,0.5,1,0.0,1,16,1.0,189.0,5,1,393,1199,3926.0,16,12,20,1,0,0,3
946,0,1.7,1,8.0,1,25,0.8,143.0,6,15,650,1740,2177.0,7,5,13,1,1,1,2
685,0,0.5,0,2.0,0,29,0.8,93.0,7,10,433,648,728.0,14,8,4,0,0,1,0
1949,0,1.3,1,0.0,0,23,0.1,101.0,5,1,839,1136,2478.0,14,8,20,1,0,0,3
947,0,0.8,1,0.0,1,22,0.1,197.0,2,13,1176,1220,2842.0,16,12,2,1,0,0,2
801,1,2.2,1,2.0,0,63,0.4,165.0,7,4,650,879,1617.0,17,4,19,0,0,1,1
703,1,2.7,0,12.0,1,30,0.3,113.0,1,20,218,1065,1472.0,14,7,7,1,0,0,0
1165,1,2.4,0,11.0,0,41,0.2,178.0,6,12,564,831,764.0,19,12,15,1,0,0,0
1082,0,0.8,0,0.0,0,38,0.1,198.0,8,5,986,1191,2337.0,6,1,17,0,1,1,2
959,1,2.6,1,15.0,0,20,1.0,84.0,4,19,561,1631,3965.0,16,1,6,1,0,0,3
1502,1,1.2,0,0.0,0,54,0.2,138.0,5,12,65,588,3693.0,17,14,16,1,1,0,3
1380,1,2.1,1,1.0,1,4,0.8,92.0,3,13,420,500,797.0,13,2,15,1,1,0,0
1266,0,0.5,0,0.0,1,5,0.1,95.0,6,9,1365,1698,1687.0,11,0,18,1,0,0,2
1934,1,2.6,1,0.0,1,46,0.1,103.0,1,17,619,1299,2940.0,13,9,2,1,1,1,3
1905,1,0.5,0,3.0,1,6,0.5,151.0,1,5,849,898,1545.0,9,5,10,1,1,0,1
1831,0,1.4,1,2.0,0,43,0.9,150.0,5,5,611,1381,3834.0,17,7,13,1,1,1,3
596,0,1.4,0,8.0,0,46,0.6,165.0,1,18,953,984,2505.0,15,4,15,1,1,0,1
1562,1,1.3,1,1.0,1,7,0.2,190.0,5,15,642,1533,2243.0,12,10,6,1,0,0,2
1490,1,0.5,1,4.0,1,64,0.3,150.0,8,8,1417,1464,3600.0,17,9,7,1,1,1,3
1523,1,2.4,0,5.0,1,57,0.2,117.0,2,6,247,539,3971.0,18,12,10,1,1,1,3
640,0,0.6,0,0.0,0,20,0.1,163.0,4,15,710,1179,2844.0,7,5,18,1,1,0,2
1526,0,2.1,0,1.0,1,23,0.2,117.0,7,8,718,751,2227.0,18,10,3,1,1,0,2
1989,0,2.5,1,0.0,1,41,0.8,94.0,3,13,1100,1497,1665.0,17,9,12,1,1,1,2
1308,0,1.9,0,0.0,1,61,0.7,106.0,3,7,59,1215,3355.0,15,2,4,1,0,1,3
609,0,0.5,0,3.0,0,26,0.3,93.0,4,4,938,1948,1866.0,11,10,14,1,1,1,1
1905,0,0.6,1,9.0,1,36,0.4,119.0,3,20,825,1542,1287.0,13,4,16,1,0,0,1
1703,1,0.5,0,0.0,1,22,0.6,192.0,1,0,286,1235,1046.0,5,4,13,1,0,1,0
1445,1,2.4,1,7.0,1,20,0.4,173.0,7,15,1273,1345,1441.0,7,4,13,1,1,1,1
1087,0,1.3,0,0.0,1,16,0.3,166.0,3,9,295,589,690.0,14,6,6,1,0,1,0
671,0,0.9,1,10.0,0,30,0.7,105.0,7,17,852,1182,2504.0,6,4,15,1,0,0,2
1472,1,2.3,0,6.0,0,61,0.1,168.0,6,19,710,1052,2677.0,19,15,8,1,0,0,2
765,0,0.5,1,0.0,1,47,0.3,115.0,8,1,1277,1429,2243.0,11,7,4,1,0,1,2
1642,0,0.5,1,16.0,1,8,0.3,171.0,6,17,129,873,2984.0,13,4,17,1,0,1,2
1265,0,1.5,0,7.0,0,49,0.7,182.0,5,16,690,836,1362.0,5,0,12,0,0,1,1
664,1,1.1,1,1.0,1,51,0.1,110.0,7,4,701,1478,3629.0,19,15,6,1,1,1,3
1277,1,0.5,1,0.0,1,35,0.4,142.0,6,6,309,1460,3559.0,18,17,6,1,1,0,3
1395,0,1.8,1,0.0,0,23,0.1,111.0,3,1,213,705,2571.0,11,0,13,1,0,1,2
1539,1,2.6,0,0.0,0,41,0.1,159.0,8,0,1112,1666,2107.0,15,9,10,1,0,1,2
1049,1,2.2,0,9.0,0,63,0.5,135.0,5,17,199,1077,1022.0,11,3,13,0,0,0,0
1827,0,1.7,0,4.0,1,39,0.5,128.0,5,16,55,1020,2844.0,14,9,10,1,1,0,2
903,0,1.0,1,0.0,1,50,0.4,91.0,1,0,1230,1235,711.0,9,5,10,1,1,0,0
1987,1,0.5,0,3.0,1,53,1.0,181.0,3,7,1052,1516,3117.0,18,5,8,1,1,1,3
1154,0,1.2,1,0.0,1,49,0.2,181.0,8,2,541,1499,978.0,5,3,7,1,0,1,0
1336,0,0.9,0,5.0,1,17,0.2,194.0,5,9,55,583,1869.0,13,1,16,1,1,1,1
1886,0,0.5,0,0.0,1,24,0.4,112.0,3,1,809,1958,1179.0,16,7,20,1,0,1,1
1551,0,1.1,0,4.0,0,51,0.1,88.0,5,6,1738,1995,3844.0,11,8,4,0,1,0,3
850,1,1.6,1,6.0,1,29,0.5,133.0,5,19,404,642,593.0,19,17,10,1,0,1,0
660,0,0.5,0,5.0,1,40,0.5,111.0,2,10,262,1178,588.0,6,5,18,1,1,1,0
1225,1,2.1,1,8.0,0,13,0.5,116.0,4,12,759,1404,3836.0,12,11,11,0,0,0,3
1452,1,0.5,1,1.0,1,25,0.9,123.0,6,11,42,1040,2669.0,12,10,13,1,0,0,2
1686,1,2.8,1,3.0,0,38,0.1,166.0,4,4,397,1453,2958.0,14,11,2,0,0,0,3
1634,1,1.4,0,1.0,1,17,0.2,200.0,2,5,964,1677,3031.0,11,6,6,1,1,1,3
1708,1,2.4,1,18.0,1,49,0.1,109.0,1,19,233,517,3388.0,6,4,16,1,1,1,3
1151,1,2.9,1,0.0,0,31,0.6,128.0,8,1,1022,1560,2377.0,18,8,13,0,1,0,2
1578,0,1.9,1,2.0,1,37,0.1,138.0,4,19,411,1226,2458.0,19,16,3,1,0,1,2
1689,0,1.8,0,17.0,0,24,0.3,127.0,3,18,954,1200,2766.0,7,2,7,0,1,1,3
1488,0,0.5,0,1.0,0,39,0.8,112.0,5,6,1528,1647,3054.0,14,10,19,0,0,0,3
1313,1,1.8,1,4.0,0,9,0.4,105.0,1,6,416,1308,3791.0,11,10,6,0,1,1,3
1715,0,1.0,1,4.0,1,31,0.5,83.0,8,17,638,1615,625.0,17,6,13,1,0,0,0
1442,0,1.0,1,0.0,0,27,0.1,192.0,3,19,231,687,2227.0,6,5,20,1,1,0,1
528,0,1.7,0,12.0,1,6,0.8,142.0,2,15,574,637,3256.0,9,8,6,1,1,0,2
1523,1,1.8,0,6.0,1,11,0.1,129.0,1,8,148,1606,707.0,19,8,19,1,1,0,0
1133,0,1.4,0,3.0,0,42,0.1,199.0,5,12,730,1543,1457.0,18,12,20,1,0,1,1
1718,1,2.5,1,14.0,1,6,0.1,183.0,5,16,564,980,3755.0,7,1,8,1,1,1,3
1330,0,0.5,0,0.0,0,38,1.0,183.0,7,1,1290,1441,1733.0,9,0,11,1,0,1,1
1799,1,0.5,0,0.0,0,49,0.4,107.0,4,2,632,1383,720.0,12,2,11,1,1,1,0
633,1,2.2,0,0.0,1,49,0.1,139.0,8,1,529,1009,3560.0,11,1,16,1,1,1,2
724,0,2.7,1,0.0,0,44,0.5,187.0,7,0,1273,1754,2311.0,7,6,7,1,0,0,2
822,1,0.5,0,0.0,1,51,0.3,157.0,6,20,667,860,3846.0,10,1,3,1,0,0,3
1918,0,1.9,0,2.0,0,10,0.6,110.0,5,10,1170,1543,1717.0,7,1,16,1,1,1,2
1891,0,2.8,0,7.0,1,37,0.4,129.0,7,14,169,1108,3704.0,8,6,11,1,0,0,3
1373,1,1.0,1,2.0,0,50,0.2,127.0,7,12,105,673,3800.0,8,3,14,1,0,0,3
862,1,0.8,1,3.0,0,23,0.4,165.0,2,15,793,1758,278.0,16,3,11,0,0,1,0
1273,0,1.0,0,3.0,1,48,0.4,99.0,4,15,490,886,1767.0,18,15,11,1,1,0,1
957,1,2.5,0,4.0,0,7,0.8,107.0,5,10,1201,1485,1846.0,12,5,7,1,0,1,1
1617,1,1.3,1,3.0,1,30,0.7,105.0,2,4,246,1038,829.0,9,0,10,1,0,0,0
893,0,2.5,1,0.0,0,55,0.6,183.0,2,1,417,946,2986.0,7,1,6,0,1,1,2
1210,0,0.5,0,0.0,0,63,0.1,93.0,5,0,1177,1462,2394.0,17,9,7,0,0,0,2
708,1,2.7,1,0.0,1,63,1.0,195.0,8,7,78,654,2169.0,6,5,7,1,1,1,1
835,0,1.1,1,2.0,0,7,0.2,101.0,4,7,323,1604,1181.0,13,5,15,1,1,1,0
1450,1,2.7,1,9.0,0,19,0.6,131.0,1,17,707,1882,575.0,15,9,12,0,0,0,0
